ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
99.42,123.47,74.85,120.4,98.66,22.55,16.75,60.47,70.54,22.32,45.76,10.91,25.8,35.62,119.68,47.67,41.27,12.3,35.05,83.37,137.0,105.97,218.52,112.87,38.59,84.39,16.84,66.05,309.02,14.14,43.03,19.58,22.13,17.4,133.72,33.95,34.66,88.99,36.16,31.51,40.54,47.1,26.08,22.74,11.8,56.84,34.32,32.32,45.9,19.08,39.9
99.86,125.93,73.87,120.85,98.17,22.73,17.69,60.66,69.73,22.46,46.1,11.04,26.08,37.12,119.15,47.49,41.56,12.15,33.66,83.3,138.27,107.31,221.31,112.2,38.83,82.18,16.31,66.39,312.73,14.23,41.55,19.28,22.32,17.64,138.15,33.59,34.85,91.44,37.02,32.21,40.55,47.47,25.96,22.67,11.61,58.05,34.7,31.74,44.96,19.7,40.23
98.23,122.7,74.2,116.74,96.26,22.79,17.08,58.61,67.78,21.99,44.84,11.09,24.78,36.75,118.24,46.0,42.1,11.82,31.75,80.39,135.89,111.33,229.0,110.51,37.34,80.74,15.97,65.73,308.91,14.08,40.07,18.87,21.52,17.35,136.4,32.33,34.21,91.73,35.94,31.67,39.85,46.83,25.84,22.65,11.43,56.24,34.41,31.4,44.86,19.06,39.27
98.28,123.55,73.13,115.0,98.86,22.2,17.59,58.55,66.75,21.95,45.4,11.3,25.18,37.85,118.4,45.93,41.72,11.77,32.09,79.38,133.59,109.72,227.33,111.51,36.22,82.23,15.69,65.07,310.61,13.81,39.49,18.92,20.96,17.07,133.13,31.72,34.51,91.96,35.41,33.27,39.92,46.66,25.84,22.84,11.81,58.62,33.55,31.5,44.24,19.71,39.78
99.5,121.37,74.95,114.59,99.03,23.04,17.91,57.62,67.51,22.8,44.71,11.02,26.06,37.56,117.96,45.51,41.74,11.82,32.91,82.98,133.5,120.12,231.23,110.51,36.97,83.58,15.76,65.12,300.63,14.16,40.2,19.03,21.91,16.89,134.15,31.71,35.1,97.84,36.41,35.11,39.97,47.25,25.83,23.34,11.84,59.28,33.11,31.03,43.64,20.66,40.59
98.98,122.99,74.66,113.08,98.69,22.76,17.78,58.4,66.63,23.06,43.21,11.23,25.32,38.48,118.87,43.78,43.38,11.98,32.13,82.21,132.75,119.35,226.82,108.46,35.97,86.39,15.63,65.96,293.65,14.15,41.35,19.19,21.35,16.77,132.11,31.5,34.94,95.19,36.5,32.86,39.21,46.99,25.45,23.06,11.66,58.58,33.22,30.78,43.69,21.1,41.15
100.47,126.46,76.58,116.12,98.5,23.15,18.44,59.12,67.61,23.06,42.75,11.23,25.32,38.5,121.36,46.37,43.79,12.52,33.13,80.83,135.26,124.01,231.65,111.46,35.14,89.25,15.85,65.46,298.67,14.29,42.27,19.36,21.78,16.78,140.08,31.81,35.31,96.76,37.52,33.98,40.03,47.36,25.37,23.17,11.72,60.89,33.93,30.22,44.77,20.75,41.08
98.21,122.07,77.51,114.71,97.41,21.77,18.84,57.65,64.87,22.43,40.85,11.05,25.54,37.83,115.1,45.11,40.66,12.26,32.16,79.35,134.1,122.28,227.64,108.86,34.46,85.21,15.69,62.91,292.69,13.84,41.96,18.88,21.19,16.64,141.34,30.75,34.79,93.06,36.25,33.39,39.02,46.78,25.09,22.82,11.57,58.82,33.66,29.09,43.74,20.18,40.15
97.99,122.45,77.95,113.54,96.73,21.51,18.6,56.54,62.68,22.36,41.71,10.85,25.42,37.05,115.15,45.4,41.48,12.45,30.65,81.06,130.77,129.16,227.92,106.19,36.28,83.45,15.55,63.09,295.18,13.99,41.85,18.92,21.47,16.74,142.35,31.95,34.39,90.16,34.89,33.97,40.3,46.01,25.25,22.47,11.45,57.29,33.56,29.17,43.81,20.11,38.98
97.48,121.39,75.49,115.92,96.19,21.12,19.17,55.79,61.85,22.19,42.46,10.67,25.31,36.89,115.27,45.88,41.43,12.03,29.57,80.86,128.47,126.53,231.27,106.17,36.66,84.8,15.48,61.55,290.01,13.77,40.98,18.69,21.27,16.72,139.29,32.57,33.81,90.64,34.02,34.57,41.12,45.67,25.25,22.31,11.65,57.26,33.44,28.61,41.95,20.18,38.75
97.69,122.33,78.76,119.51,94.44,20.93,20.05,56.23,64.2,22.61,43.77,10.81,24.85,35.38,116.26,47.25,41.5,12.05,27.89,82.13,127.82,123.93,227.04,106.76,36.57,86.88,14.98,61.96,294.31,13.54,39.88,18.2,21.47,17.17,143.6,31.87,33.56,93.67,33.46,35.5,42.84,45.35,25.75,22.0,11.61,57.1,33.64,28.74,42.5,20.04,37.86
99.97,122.78,79.04,121.19,94.92,20.63,20.64,56.91,66.26,23.09,45.3,10.96,25.63,36.18,119.9,48.46,42.63,12.61,28.78,87.0,129.19,121.86,230.67,107.35,37.6,89.28,15.07,62.47,291.96,14.22,41.52,18.27,21.85,17.57,149.06,32.93,34.48,100.73,34.76,36.36,46.23,45.74,26.26,22.06,11.94,58.79,34.34,29.79,43.09,20.71,38.99
100.2,124.86,78.2,121.07,97.31,20.73,20.55,56.61,66.18,22.93,44.77,10.95,25.07,35.62,119.48,49.17,42.19,12.83,29.14,87.74,126.32,128.56,236.14,108.51,37.38,87.52,15.08,61.81,278.99,14.45,42.63,18.52,21.18,17.43,149.35,31.65,34.84,100.06,34.71,35.43,47.46,46.51,26.48,22.35,11.68,58.13,34.17,30.98,44.61,20.88,39.77
100.2,124.44,80.31,120.82,95.11,20.25,20.99,56.02,66.37,22.82,44.23,11.34,25.89,36.49,118.41,48.45,40.71,12.45,29.87,90.73,126.75,139.88,235.26,104.89,37.94,89.74,14.97,62.08,280.62,14.43,43.59,18.34,21.28,17.41,147.5,32.46,34.83,97.66,33.0,34.63,46.1,46.35,25.94,21.92,11.74,56.97,34.24,31.98,45.08,20.65,39.6
98.57,125.27,81.88,118.46,96.6,20.41,20.25,56.03,67.49,22.02,42.92,11.3,25.17,36.09,117.5,46.44,39.21,12.27,31.51,89.95,126.35,135.36,235.75,106.71,36.49,87.25,14.45,61.43,279.4,14.4,40.49,18.34,21.33,16.76,145.46,30.24,33.86,94.87,31.73,35.18,44.06,46.12,25.6,22.23,11.53,54.5,34.15,31.2,44.95,19.6,38.35
98.49,125.1,82.7,116.29,95.39,20.21,21.35,56.42,67.42,21.44,43.93,11.08,24.34,35.58,116.31,47.05,39.15,12.06,30.53,88.11,125.68,142.55,236.74,106.8,38.08,85.25,14.49,60.67,288.61,14.62,40.11,18.32,21.86,16.75,146.4,29.48,33.87,93.66,32.07,34.25,45.17,46.53,25.27,22.56,11.31,53.1,33.59,31.11,44.5,18.94,37.32
99.23,126.22,84.43,117.12,95.12,19.91,20.42,58.43,67.46,21.98,44.25,11.2,23.65,33.97,120.05,46.22,39.99,12.27,30.58,90.83,128.84,154.8,235.94,111.68,39.78,88.19,14.57,60.75,290.44,14.6,41.14,18.45,21.33,16.93,146.69,29.57,34.38,96.48,31.6,32.51,45.42,47.53,25.32,23.01,11.26,54.15,33.54,31.28,45.05,18.5,35.78
99.14,120.64,86.7,118.77,95.46,19.69,20.42,58.82,66.14,21.67,45.01,11.44,24.09,33.4,118.1,44.07,39.86,12.19,32.56,95.92,129.18,157.57,238.57,110.69,40.03,88.25,14.8,61.51,297.9,14.54,41.71,18.4,20.77,16.65,147.44,28.24,33.36,92.85,32.8,31.66,44.76,47.24,24.83,22.91,11.19,52.62,33.11,31.2,45.78,18.73,36.56
97.58,119.03,86.76,119.4,93.13,18.19,20.22,59.32,65.67,21.22,45.05,11.74,23.88,34.0,114.45,46.06,39.68,11.83,32.21,91.91,128.38,152.39,235.22,110.75,40.74,85.62,14.59,60.29,295.4,14.25,40.48,18.43,21.56,16.63,148.59,27.5,31.97,87.9,30.7,30.06,43.1,45.45,24.49,22.36,10.91,51.71,32.64,30.92,45.51,18.59,35.59
98.74,121.03,86.1,121.63,93.79,17.78,20.22,60.74,67.79,21.8,46.31,12.18,24.51,33.94,115.69,46.72,41.37,11.77,33.03,92.28,130.96,160.94,237.89,111.14,41.5,86.83,14.04,62.16,296.98,14.53,40.75,18.29,21.22,16.75,150.78,28.67,32.3,87.47,30.42,29.61,44.21,45.14,24.56,22.05,11.13,53.46,34.26,30.48,46.76,18.59,35.18
99.73,122.81,87.61,123.59,97.37,17.03,20.28,61.02,66.42,21.02,44.49,12.17,24.98,34.04,116.63,46.24,42.2,11.61,34.51,94.19,133.64,165.98,247.36,109.44,42.88,87.69,13.82,64.43,301.72,14.46,41.13,18.59,21.47,16.67,147.64,30.54,32.87,88.19,29.87,31.46,44.98,45.6,24.6,22.42,11.12,51.4,34.76,30.81,48.17,19.35,35.99
98.95,122.59,86.6,121.38,99.92,16.24,20.14,59.65,68.04,21.22,45.05,12.0,24.17,32.81,117.45,44.92,41.79,11.48,34.43,94.82,132.79,153.47,253.47,109.6,43.04,90.81,13.88,62.41,298.85,14.25,40.44,18.13,22.29,16.7,148.02,30.15,32.17,87.3,29.74,30.69,43.34,45.25,24.18,22.17,11.19,52.27,34.58,30.99,46.83,19.15,36.12
98.46,120.04,84.39,122.14,98.69,16.32,19.58,60.03,68.81,20.94,43.72,11.77,23.86,32.37,117.01,44.32,42.53,11.52,34.1,95.8,136.07,151.15,253.39,112.3,43.57,90.35,14.4,62.07,291.12,14.07,39.04,18.06,22.37,16.62,148.46,29.91,32.81,85.14,29.94,30.87,43.18,45.46,24.14,21.97,10.89,52.26,34.27,30.79,46.41,18.73,36.33
98.92,118.17,85.79,120.12,98.62,15.99,18.85,58.96,69.35,20.99,45.45,11.78,24.25,33.55,114.8,44.87,41.73,12.05,34.44,97.13,135.98,158.23,253.21,112.81,44.91,86.15,14.87,61.5,291.58,13.93,39.51,18.52,22.72,16.37,146.03,30.73,33.5,89.03,29.62,31.49,42.87,46.17,24.26,21.87,10.87,53.11,33.9,30.57,46.27,18.28,36.65
100.28,121.69,86.17,121.32,98.04,16.34,18.79,59.21,70.34,21.25,46.76,11.73,24.95,34.22,118.02,46.3,43.02,12.25,35.1,100.52,137.11,179.24,248.37,113.19,43.71,85.73,14.99,62.34,288.26,14.11,39.82,18.59,23.84,16.93,147.32,30.53,32.91,92.91,28.62,30.39,45.34,45.99,24.36,21.87,11.07,51.87,34.55,30.95,46.83,18.44,37.21
101.48,126.82,85.83,122.31,100.04,16.75,18.07,58.24,68.78,21.01,46.44,11.83,25.54,34.42,117.71,47.02,43.75,12.27,38.83,102.57,138.5,178.78,250.31,116.57,44.33,89.31,15.1,61.84,283.55,14.43,41.05,19.1,23.84,16.48,150.23,31.17,33.87,97.14,29.08,30.84,45.09,46.49,24.16,22.31,11.23,53.9,34.39,32.07,47.0,18.85,37.73
102.24,128.17,86.32,121.1,98.52,16.5,17.9,59.98,69.18,21.34,46.99,12.06,25.22,34.76,115.77,48.18,42.28,12.02,38.65,101.97,140.06,184.64,256.12,115.11,45.12,91.22,15.84,62.53,288.49,14.56,42.67,19.39,24.05,16.4,148.61,32.01,34.45,98.9,29.25,31.21,44.9,46.31,24.01,22.2,11.23,54.41,34.9,31.98,46.85,18.84,39.48
102.16,128.37,87.5,121.98,97.7,16.48,18.74,60.19,69.63,21.93,46.64,12.04,26.2,35.51,114.18,47.83,42.69,11.71,37.5,103.49,137.09,185.11,258.95,113.09,44.64,91.12,16.28,61.02,281.83,14.1,41.77,19.69,24.12,16.6,148.37,31.04,34.35,96.0,29.93,30.85,44.22,45.33,24.14,22.16,11.47,56.32,34.99,30.97,47.12,18.51,39.23
103.68,131.42,87.42,122.72,98.58,16.87,18.55,60.34,71.23,22.54,47.47,12.31,26.65,36.21,116.71,49.18,44.26,11.79,37.06,103.01,142.8,188.35,264.13,115.11,44.48,88.28,16.6,62.5,291.3,13.95,43.4,20.06,24.35,16.7,151.55,31.07,34.92,98.17,29.83,31.72,44.17,45.78,24.76,22.9,11.91,56.76,36.16,30.79,47.11,19.55,39.73
102.53,127.75,84.47,121.52,101.72,16.35,18.6,59.51,71.31,22.54,46.25,12.13,26.66,35.94,113.37,48.73,42.71,12.16,35.32,101.56,139.32,185.71,259.96,115.43,42.2,86.45,16.79,63.3,285.24,14.34,44.37,20.06,24.67,16.34,143.49,30.46,34.72,94.37,29.05,30.83,43.56,45.79,24.59,22.87,11.91,55.04,35.68,30.72,48.35,19.47,39.37
101.44,122.37,84.57,120.74,103.91,15.55,18.05,57.98,69.48,21.93,45.89,11.99,26.41,35.61,110.4,47.53,41.74,11.86,34.71,100.95,136.07,188.2,250.95,115.29,42.41,88.07,16.5,63.22,278.46,14.52,46.02,20.13,24.01,15.81,141.92,30.44,35.1,93.54,27.48,31.53,43.08,46.52,23.9,23.33,12.19,53.59,34.79,29.96,48.56,19.27,37.85
101.4,121.68,84.4,123.29,104.74,15.57,18.45,57.44,68.34,22.17,45.86,11.77,26.26,35.16,110.8,47.89,42.41,11.69,35.31,99.27,128.36,188.93,253.45,117.38,42.07,87.92,16.38,62.29,277.74,14.16,47.72,19.98,23.37,16.13,142.35,30.54,34.79,92.16,28.83,31.25,42.58,46.54,24.2,23.24,11.93,52.94,34.2,30.69,48.87,19.76,38.35
103.11,120.65,84.86,124.13,104.65,15.46,19.23,56.4,71.17,23.93,45.13,11.88,26.88,37.17,110.33,48.77,43.39,12.01,36.11,102.6,132.87,191.36,256.83,117.99,42.86,93.72,16.87,62.54,271.56,14.38,50.91,19.75,23.25,16.7,145.83,30.42,35.03,90.75,29.29,32.34,43.45,46.95,23.82,23.58,12.01,55.48,34.76,31.33,50.15,20.21,39.18
102.75,121.35,84.04,123.08,107.09,16.03,19.21,55.91,72.74,24.45,45.28,11.83,27.01,38.5,108.66,48.55,43.87,11.92,34.54,101.74,128.88,184.17,251.85,117.26,42.02,93.02,17.57,63.34,275.87,13.83,51.14,19.44,23.03,16.4,145.71,29.75,34.34,94.35,29.81,31.93,42.11,46.73,23.86,23.06,12.12,55.1,34.42,31.73,48.41,19.61,40.59
103.57,123.0,84.68,125.66,107.44,16.32,19.11,55.91,73.43,24.74,47.89,12.07,28.26,37.71,109.72,50.95,44.51,12.03,33.86,100.74,127.28,183.34,252.09,117.44,41.78,92.36,17.59,64.29,275.69,13.74,51.36,19.42,23.19,16.7,151.42,29.17,34.68,91.73,30.29,32.85,42.79,46.75,23.87,23.74,11.96,56.87,34.87,33.12,48.61,19.62,41.83
104.05,124.81,86.67,128.11,104.15,16.2,19.3,56.84,75.05,25.34,49.87,11.89,28.23,38.25,109.39,51.53,44.3,12.01,32.14,104.19,130.65,183.95,252.1,119.56,41.13,90.9,17.63,64.36,277.61,13.9,48.56,19.54,23.06,16.53,150.41,27.6,34.98,93.53,30.23,35.04,42.25,47.72,24.45,23.79,12.17,59.68,35.44,31.82,49.25,19.96,42.95
103.61,121.71,85.07,128.22,102.02,16.12,18.91,56.77,78.14,25.05,49.4,11.7,28.05,37.53,108.73,52.35,44.73,12.17,32.04,105.29,130.15,184.58,247.02,114.74,40.75,90.76,17.36,64.19,288.72,13.92,47.61,19.84,22.41,16.88,150.76,28.11,34.96,90.02,29.24,34.1,43.12,48.32,24.52,23.87,12.21,59.15,35.96,32.33,48.78,20.2,41.13
103.54,122.33,82.44,130.57,103.07,16.51,18.75,57.63,76.73,24.06,48.26,11.63,27.45,37.77,109.42,52.8,44.39,12.5,33.36,105.75,131.64,189.72,247.0,113.4,41.33,94.02,17.6,63.31,285.63,13.67,49.58,19.55,22.11,17.55,148.92,28.84,34.43,87.04,28.87,34.04,42.81,47.79,24.49,23.38,12.22,59.95,35.38,32.05,49.33,19.38,40.33
104.2,124.71,85.38,134.65,104.14,16.67,19.36,57.04,75.89,23.77,48.53,11.69,27.43,37.7,110.3,52.79,43.95,11.94,34.72,105.65,132.2,181.43,247.25,116.5,41.42,94.54,17.39,63.23,285.85,14.07,53.15,19.78,22.76,17.54,152.5,28.34,34.24,87.97,30.34,34.87,42.3,47.86,24.57,23.51,12.57,59.95,35.86,33.03,49.11,19.44,40.23
105.21,122.8,83.3,136.92,104.33,16.92,19.7,56.85,76.39,24.1,48.4,11.71,28.05,37.69,110.0,52.17,45.34,11.82,34.0,105.53,133.06,182.8,244.94,117.26,43.18,100.1,17.35,61.71,287.48,14.25,54.84,19.96,23.12,17.99,152.4,29.45,34.18,92.87,30.83,35.44,41.93,48.23,25.16,23.96,12.7,62.21,36.56,32.82,49.71,19.73,40.5
106.0,119.81,80.87,135.4,102.63,17.34,19.21,56.18,76.14,24.26,50.91,11.9,28.43,38.74,108.04,50.75,43.7,11.72,35.54,102.74,132.93,192.62,246.73,116.71,44.08,100.03,17.37,62.57,279.16,14.38,57.88,20.42,23.69,18.31,148.74,30.45,34.66,99.01,31.12,34.0,42.24,48.66,25.13,24.45,12.69,64.63,36.81,33.48,49.23,20.36,39.79
107.49,118.68,81.08,138.87,106.26,16.83,19.75,57.02,76.12,24.6,53.54,12.03,28.81,37.67,111.29,50.55,44.74,12.14,36.53,102.06,140.44,185.63,253.36,118.59,43.59,97.95,18.15,63.38,279.08,14.17,58.55,21.19,25.06,18.47,147.21,31.29,34.98,104.75,31.71,34.6,43.78,48.46,25.5,24.56,13.18,66.46,37.35,33.76,48.79,20.62,40.64
107.12,118.94,82.49,139.4,105.1,15.99,19.81,57.64,77.87,23.78,53.34,12.04,27.92,37.26,108.66,50.39,43.64,12.4,36.01,100.23,140.4,181.0,254.56,116.12,44.36,98.87,17.67,64.31,276.47,14.3,59.44,21.09,25.79,18.53,145.55,30.72,34.87,104.25,32.35,33.81,42.79,47.8,25.78,24.88,13.2,65.72,37.37,34.21,49.51,20.9,39.59
106.25,119.97,81.36,137.43,103.35,15.45,19.87,58.1,78.56,23.86,53.89,12.07,28.08,37.46,106.98,52.3,43.6,11.98,34.98,96.94,138.49,182.69,250.04,115.35,44.65,97.65,17.53,64.85,280.61,14.27,58.24,20.66,25.31,18.29,146.08,30.19,33.65,105.14,31.48,32.69,42.43,47.29,25.46,24.36,13.1,65.94,37.98,33.45,47.89,20.07,38.68
107.03,119.06,82.87,139.21,101.89,16.11,19.72,59.09,79.43,23.87,55.13,12.45,28.53,39.73,108.24,52.26,44.4,11.82,35.43,100.92,140.82,175.12,255.6,118.38,44.78,95.05,16.8,69.26,286.02,14.26,57.72,20.61,25.22,18.98,154.3,29.5,33.38,100.58,32.13,33.77,43.96,47.56,25.81,24.48,12.97,67.46,38.44,33.8,46.85,19.94,40.15
108.46,120.31,84.78,142.28,103.78,16.57,19.57,59.69,81.24,24.0,55.49,13.02,29.6,41.01,111.6,54.51,46.24,11.81,35.57,99.74,146.98,178.97,255.6,121.95,44.81,96.62,16.82,72.84,286.37,14.42,56.07,20.43,24.68,19.56,153.7,31.47,33.36,104.54,31.67,33.93,43.56,48.2,26.06,24.68,13.48,69.83,39.25,32.71,46.09,19.47,42.19
107.7,122.16,83.38,142.81,102.93,15.36,19.03,59.59,79.9,23.94,56.46,12.78,29.56,41.01,111.13,53.25,45.58,11.44,36.71,96.8,139.54,181.1,254.17,123.03,45.65,96.69,16.69,72.46,291.67,14.38,55.75,20.48,24.74,19.0,153.44,32.75,33.71,99.51,31.57,34.23,42.72,48.02,25.58,24.77,12.89,67.79,39.23,32.78,45.57,19.53,41.31
109.38,128.77,86.52,144.86,103.15,15.96,19.99,60.1,80.44,24.13,58.45,13.03,30.02,41.67,111.96,53.48,46.97,11.92,35.92,95.77,139.7,175.36,263.28,124.13,46.0,103.83,16.73,74.61,299.61,14.31,54.78,21.16,23.79,20.2,155.78,32.06,34.82,98.41,31.01,35.32,42.21,48.69,26.08,25.87,13.63,69.98,40.6,32.84,46.97,19.88,41.65
111.03,133.52,85.14,151.0,104.11,16.21,20.02,59.67,84.71,24.86,58.66,13.05,30.65,42.53,117.02,53.56,47.94,12.34,36.51,99.94,147.37,185.8,260.05,128.77,46.6,108.32,16.75,75.02,304.28,14.28,55.61,21.2,23.19,20.32,156.12,32.62,34.88,104.47,30.28,35.25,44.55,48.57,26.32,25.95,13.63,68.9,40.97,32.66,47.25,19.79,42.95
112.25,132.26,89.53,152.68,104.31,15.78,19.26,60.78,85.81,24.94,59.85,13.32,30.64,44.29,119.45,54.18,46.9,12.1,37.2,99.18,147.99,193.85,272.3,125.96,47.6,107.73,16.76,75.46,307.76,14.69,58.82,21.4,23.22,20.15,159.32,33.56,34.96,112.93,31.09,33.45,43.93,48.3,26.64,25.73,13.87,70.5,42.11,32.68,47.43,19.83,41.8
113.32,131.83,87.51,154.29,106.18,15.95,19.27,61.04,84.41,25.58,62.34,13.4,30.64,43.98,121.63,56.66,47.76,12.01,38.72,100.19,147.9,211.97,267.68,123.74,48.25,110.93,16.48,75.28,312.69,14.91,60.44,21.03,23.09,20.15,162.36,34.9,35.53,112.55,29.79,33.26,45.86,48.37,26.66,25.83,13.69,71.87,42.46,32.85,47.6,19.35,41.06
113.31,132.46,88.33,152.89,107.22,16.36,19.14,62.4,85.02,25.01,61.96,13.09,31.1,43.25,121.58,56.69,48.2,12.01,36.53,101.57,143.0,216.89,264.49,126.81,46.1,112.23,16.37,77.41,312.07,14.72,60.74,21.45,23.64,20.18,160.14,34.89,35.67,110.49,29.45,33.01,46.41,48.41,26.36,26.2,13.75,72.25,41.64,32.62,47.33,19.87,42.58
113.71,131.8,89.06,156.18,105.39,16.76,19.14,63.45,85.52,25.56,64.66,13.34,31.75,42.86,120.39,58.67,48.97,12.36,36.94,101.61,145.93,206.93,270.39,124.23,45.96,112.73,16.68,79.65,316.88,14.97,59.6,21.86,22.92,20.18,162.19,34.66,36.04,105.48,29.62,32.84,47.53,47.78,26.72,26.2,13.41,73.44,42.4,31.76,48.06,20.31,42.57
114.46,131.15,91.68,159.3,108.78,17.14,20.09,61.59,86.72,26.01,65.06,13.51,31.9,43.03,123.24,60.37,48.91,12.27,36.6,101.31,143.59,201.05,268.82,126.61,48.62,116.94,16.37,78.71,313.35,15.34,59.7,21.86,23.33,20.43,162.18,35.16,35.44,101.35,31.73,33.21,46.33,47.44,27.28,26.28,13.38,72.8,42.89,32.8,48.92,20.49,42.48
114.28,129.75,94.33,157.86,109.26,17.39,20.82,60.88,87.47,25.66,63.13,13.28,32.91,43.93,122.3,59.88,50.25,11.7,37.0,104.57,146.75,202.82,267.93,124.27,48.96,114.93,16.29,79.96,302.47,15.27,58.17,21.49,24.16,20.25,163.06,33.84,34.93,97.54,31.28,33.93,47.12,46.75,27.25,26.52,13.32,72.69,43.25,31.43,48.79,20.78,43.09
113.04,130.62,95.58,159.4,106.16,16.57,19.87,59.95,85.41,25.41,62.51,13.31,32.29,43.88,122.38,59.43,49.68,12.0,37.25,100.59,149.12,195.33,267.32,124.46,48.94,115.24,15.81,76.88,305.66,14.62,58.03,21.31,23.52,19.96,161.3,34.94,34.85,97.01,31.25,35.28,47.11,46.18,26.93,25.53,13.24,72.4,43.21,30.2,48.55,19.61,42.56
115.23,129.6,95.59,164.65,107.73,17.24,20.5,60.72,85.8,26.58,64.17,13.53,33.59,43.92,124.27,60.47,50.27,12.32,38.27,98.26,149.28,204.26,281.02,123.13,49.37,113.2,16.4,76.96,307.31,14.66,59.86,21.45,24.06,20.42,163.63,36.6,35.74,101.81,32.85,36.25,50.13,46.7,27.46,25.72,13.52,73.44,43.93,29.97,48.77,19.93,41.8
115.42,130.66,97.57,166.26,109.19,17.97,20.75,61.02,84.88,26.87,63.83,13.57,32.51,44.45,123.36,59.5,49.46,12.32,37.53,98.07,148.25,198.33,294.11,124.29,49.98,112.38,16.49,79.29,315.72,15.11,57.53,21.72,23.68,20.3,163.88,37.71,35.3,98.91,33.47,35.6,49.43,46.58,27.65,25.85,13.54,75.19,44.45,30.28,47.41,19.39,41.11
115.13,132.21,98.54,165.23,108.34,17.46,20.82,61.9,86.96,27.35,64.59,13.21,31.35,44.92,123.73,59.58,48.42,11.95,37.96,98.13,151.7,205.65,293.38,125.8,48.77,108.75,16.44,77.82,319.15,15.04,57.07,20.97,23.65,19.98,163.5,35.76,34.87,99.74,33.84,35.57,50.32,46.78,27.91,25.25,13.54,74.29,43.89,31.89,46.26,18.67,40.09
113.43,130.35,94.94,165.29,106.6,16.06,19.97,61.96,86.12,26.64,63.39,12.87,31.0,44.03,122.26,56.69,46.43,11.74,38.83,91.83,143.5,208.4,289.68,124.43,48.77,111.39,15.98,76.1,318.36,14.5,55.79,20.35,23.7,19.43,163.23,35.31,34.26,101.75,34.31,33.34,49.63,46.54,27.59,25.27,13.01,72.08,43.88,31.01,45.84,19.18,41.05
111.97,130.44,93.92,163.42,106.71,15.43,20.17,61.81,85.4,26.2,61.82,12.34,30.28,43.54,123.68,57.32,45.61,11.38,36.96,87.07,144.63,208.61,282.93,121.03,48.6,110.95,15.37,75.16,316.51,14.19,57.55,20.05,23.6,18.91,160.29,37.12,33.43,99.34,33.15,31.45,46.89,46.11,27.56,24.88,12.68,74.17,43.53,29.47,44.91,19.52,40.11
111.12,130.44,90.93,163.36,107.31,15.61,20.3,59.63,83.17,26.65,63.33,12.52,29.9,43.52,126.53,57.4,45.63,10.99,35.39,85.92,142.93,207.44,285.18,119.6,48.94,109.99,15.15,77.24,324.28,13.66,54.24,19.45,23.94,18.84,158.14,35.13,33.59,95.26,31.48,32.03,46.62,46.02,27.66,24.45,12.84,75.14,43.65,28.05,45.12,18.8,40.06
110.37,127.28,90.37,161.94,105.25,15.59,19.81,59.44,80.51,25.84,62.68,12.71,28.95,44.38,123.78,59.1,48.09,11.36,34.47,86.32,141.42,207.47,284.52,119.46,47.77,104.87,15.2,75.91,323.74,13.85,53.36,19.36,23.79,18.36,158.59,33.37,33.43,95.73,31.05,32.96,49.26,45.58,27.66,23.97,12.66,74.7,44.08,27.76,44.65,18.2,38.64
111.58,124.53,87.07,164.56,109.99,16.28,20.0,59.49,80.1,24.98,61.38,12.87,28.96,45.1,127.16,60.86,47.94,11.42,34.79,88.61,137.78,208.49,292.37,124.43,48.65,111.32,15.62,74.65,324.67,13.99,56.83,19.38,23.83,18.5,156.27,35.09,33.95,100.54,30.5,34.32,50.64,46.21,27.53,24.05,12.67,76.93,44.64,27.75,44.31,17.95,38.79
110.82,124.07,87.57,164.18,108.15,16.13,20.1,58.74,82.33,24.73,59.93,12.7,29.34,44.17,125.39,62.37,47.18,11.64,35.56,88.66,133.33,210.24,281.96,124.55,47.18,114.25,15.96,73.82,315.27,13.85,60.59,18.77,24.27,18.51,155.61,33.97,33.28,99.41,30.36,34.26,48.99,45.77,27.36,23.87,12.51,75.5,44.41,26.54,44.28,17.68,38.47
111.99,123.76,86.6,165.4,109.85,16.69,20.09,59.18,83.73,24.96,58.72,12.71,30.45,44.98,126.85,63.73,48.61,11.95,36.16,91.39,136.14,211.21,289.91,123.7,47.88,115.54,15.73,73.44,309.86,13.58,60.0,18.92,25.15,19.02,157.2,34.43,33.95,104.22,29.91,34.9,47.24,46.47,27.43,24.39,13.16,75.85,43.9,27.22,44.67,17.46,40.13
110.7,117.25,86.88,161.44,110.07,16.83,20.15,58.56,82.35,24.64,59.45,13.07,30.21,44.08,124.31,63.03,47.92,11.94,34.31,94.25,133.91,210.8,282.87,122.25,46.33,109.03,15.97,75.29,303.92,13.43,58.98,19.03,24.8,18.59,151.71,33.92,33.49,102.78,30.08,33.53,46.37,46.68,27.32,24.0,12.83,75.37,43.17,28.06,43.67,17.71,38.12
